 , lgyw**** , 냄새가 난다 광고의 냄새가 , 84 , 6 , Sat May 15 23:46:23 KST 2021 
 , gjtt**** , 솔직히 창작이란게 돈으로 다 되는게 아니다...영상 깔끔한거 이런건 할수있다처도 내용이 개차반인게 너무많다.. , 31 , 1 , Sat May 15 23:46:23 KST 2021 
 , ichg**** , 근데 정작 미국에서도 디즈니 플러스가 아직 넷플의 아성을 넘진 못함 , 15 , 2 , Sat May 15 23:46:23 KST 2021 
 , axiy**** , 이런 기사 하나에 얼마를 받을까? 디즈니도 마케팅에 신경을 쓰기 시작했네. 곧 서비스 시작하겠구만. , 10 , 4 , Sat May 15 23:46:23 KST 2021 
 , ygw2**** , 백수들이신가봐요. 어떻게 다 볼시간이되요? 일끝나고 두세편보면 많이 보는거고 주말에도 생각보다 많이 못보던데. , 4 , 0 , Sat May 15 23:46:23 KST 2021 
 , neo2**** , 디즈니 플러스 구독하고 있는데 마블 보고 싶은거 나올때만 간간히 구독하다가 끊고 함. 반면 넷플릭스는 쭉 구독함 , 8 , 7 , Sat May 15 23:46:23 KST 2021 
 , ajho**** , ㅋ 디즈니는 더 볼꺼없지 않음? 흑인 인어공주 보고 기겁했다..ㅋ 이넘들은 배가 불러서 지들 멋대로 페미짓 하는기업이라 망해야 함 , 2 , 1 , Sat May 15 23:46:23 KST 2021 
 , gada**** , 저렴하게 들어오는게 중요하지 , 1 , 0 , Sat May 15 23:46:23 KST 2021 
 , wal0**** , 아닌데?? 관련 디즈니 플러스가 넷플릭스의 아성을 깰수 있을까?? , 4 , 4 , Sat May 15 23:46:23 KST 2021 
 , vgty**** , 디즈니 일루미나티 그림자정부기업 , 3 , 3 , Sat May 15 23:46:23 KST 2021 
 , duds**** , 넷플릭스 재밌고만 왜그냐 지금까지 잘 봐놓고;;;; , 1 , 1 , Sat May 15 23:46:23 KST 2021 
 , hfv7**** , 넷플릭스의 진정한 매력은 미드에 있습니다. 넷플릭스 오리지널 시리즈도 재밌어요. 시리즈에 한 번 빠지면 시간 가는 줄 모릅니다. 나르코스 시리즈 재밌게 봤고 이와 유사한 시리즈 보고 있어요. , 1 , 1 , Sat May 15 23:46:23 KST 2021 
 , thet**** , 예전에 비디오대여점이 그러했다. 구닥다리 애니메이션부터 홀콩성룡의 취권과 무협지 시리즈로 꽉채워진 진열장, 정작 볼게 없었다. 지금은 시나리오작가도 많아지고, 앱툰도 활발하게 발행되어 그나마 다행스럽다. 냇플리스가 딱 이 구멍가계 VD대여점꼴되었다. 젋은 신세대 작가들을 활요하지 못한다면, 올해를 넘기지 못하고 폐업하지않을까? , 1 , 1 , Sat May 15 23:46:23 KST 2021 
 , well**** , 솔직히 넥플릭스 이젠 볼거 없잖아. 그렇다고 디즈니 온다고 풍성해질 건 없을 듯 반짝 재미지긴 하겠지만 , 1 , 1 , Sat May 15 23:46:23 KST 2021 
 , news**** , 넷플리스가 주춤한거는 한달무료가 없어졌기때문에 당연한거지 , 0 , 0 , Sat May 15 23:46:24 KST 2021 
 , news**** , 국내 OTT 시장을 장악하고 있는 넷플릭스의 열기도 주춤한 상태다. 아이지에이웍스 모바일인덱스에 따르면, 지난달 넷플릭스의 월간 활성이용자수(MAU)는 991만명으로, 전달(1052만명) 대비 61만명 감소했다. 지난달 신규 설치기기 대수는 35만대에 그쳤다. 지난 2019년 12월 코로나19 발생 이후 최저치다(안드로이드 기준). , 0 , 0 , Sat May 15 23:46:24 KST 2021 
 , lpia**** , 니가 가라 삐끼!!! 뭘 오라가라해!! , 0 , 0 , Sat May 15 23:46:24 KST 2021 
 , proj**** , 디즈니 오면 넷플릭스는 잠시 탈해야징... 디즈니 지겨워지면 다시 보면 되고.. , 0 , 0 , Sat May 15 23:46:24 KST 2021 
 , kkso**** , 이것저것 여러개들어와경쟁으로 소비자의선택 폭이많아져야당연한거다. , 0 , 0 , Sat May 15 23:46:24 KST 2021 
 , zip8**** , 사실 다중이용자 막으니까 그런거 아니냐? , 0 , 0 , Sat May 15 23:46:24 KST 2021 
 , 829y**** , 이슬람교 라마단 행사에 1700명이상 모였다는데 ... 이건 몇명이나 뜰지... , 108 , 1 , Sat May 15 23:49:50 KST 2021 
 , ichu**** , 김해 교회관련 11명나머지는 교회와 관련없는 확진자이다누구나 다 걸리는 코로나를 너무 누구의 탓으로 만 돌리는 이 정권진저리가 난다. 매번 나누고 쪼개고.... , 79 , 9 , Sat May 15 23:49:50 KST 2021 
 , bimi**** , 김해시장, 관련 공무원들 전원 파면시키고 시말서 쓰게해라! 친이슬람 매국노들 , 59 , 6 , Sat May 15 23:49:50 KST 2021 
 , sile**** , 중국 우한에서 발생한 코로나를 출입을 막지 않은 문재인 정권이 원인이다. , 77 , 28 , Sat May 15 23:49:50 KST 2021 
 , love**** , 외국인 내보내야함 김대중때부터 다문화질해서 지금 심각한 상태임 , 47 , 9 , Sat May 15 23:49:50 KST 2021 
 , wjdq**** , 외국인은 900명 모여도 도에서 허가 해주고 국내인은 5명이상 않됨? 왜 진짜 무었이 겁나서 일까 , 34 , 0 , Sat May 15 23:49:50 KST 2021 
 , dong**** , 문재앙 ㅋㅋㅋ또 시작이네 지겹다 지겨워, 또 교회만 잡고 있네 너 청와대 근처 맛집가봐, 그리고 지하철, 버스 봐봐. 백화점 가보던가. , 32 , 10 , Sat May 15 23:49:50 KST 2021 
 , cyh8**** , 애초에 행사 못하게 할까봐 몰래 했다는 데 그럼 불법아닌가? 치료 하지 말고 추방해라 , 17 , 0 , Sat May 15 23:49:51 KST 2021 
 , wtsh**** , 우한폐렴은 한국에서만 유독 교회에서 집회에서만 감염을 일으키는가? 전세계에서 한국교회만 운영되고 한국집회만 열리고 있는것인가? 너무도 이상하지 않은가? 전세계에서 가장똑똑하다고 자부하던 K한국인들은 이런 이상한현상에 대해 아무소리도 못하고 있는가? 정부와 방역당국이 이끄는대로 목줄찬 돼지새끼같이 질질질 끌려다니고만 있는가? K국민들은 1%가 이끄는대로 99%서민들은 침묵하며 살아가야만 하는것일까 분노하지 못하는죄가 댓가를 치를날이 다가오고 있다 , 19 , 4 , Sat May 15 23:49:51 KST 2021 
 , zoar**** , 굳이 '또'라는 부사를 쓰는 이유는 뭐냐? 코로나 확진자가 매일 700명대 나오는 중인데, 누가 코로나 걸리고 싶어서 걸리냐? 물론 부주의한 점은 문제이지만, 확진자들을 비난하게 만드는 어감으로 기사쓰지 말아라 기레기님아~! , 8 , 2 , Sat May 15 23:49:51 KST 2021 
 , arab**** , 싼게 비지떡이란 말이 있는데 백신중 제일 값싼 AZ 을 우리나라 주백신으로 도입해서 국민들에게 불안감을 초래하는 것에 대해 이놈의 정권은 대국민 사과도 없고 책임지는 인간 하나없네 지들이 야당시절 국민들을 호도해서 광우병사태를 일으키고 툭하면 사과하고 책임자문책하라고 하더니 , 116 , 30 , Sat May 15 23:50:24 KST 2021 
 , bamb**** , 아스트라제네카는 다른나라에서 금지된 백신이다.국민들은 화이자 원한다 빨리 들여와 무능한 정권아ㅡ , 85 , 25 , Sat May 15 23:50:24 KST 2021 
 , sdi8**** , 화이자로 맞히라! 늙은이는 기저질환, 젊은이는 연관성없음,, 질린다 , 41 , 5 , Sat May 15 23:50:24 KST 2021 
 , dudx**** , 잘읽어보니 화이자 29만명분들어온건데? 매주 100만명을 접종시킨다고? 뭔? 개소리야? , 37 , 3 , Sat May 15 23:50:24 KST 2021 
 , jjin**** , 문재인 니가 깜빵가고 ㅡ이재용부회장 석방해서 ㅡ모더나 ㆍ화이자 백신 들여오게 해라 ㅡ국민들 명령이다 , 30 , 10 , Sat May 15 23:50:24 KST 2021 
 , bono**** , 현정부 멀하든 안믿어 , 29 , 10 , Sat May 15 23:50:24 KST 2021 
 , zmp1**** , 미국은 백신이 남아 돈다는데 ... 싸고 부작용 많은 아스테라 제네카 말고 ... 화이자 가져 오라고 ... 문재인이 돈을 흥청 망청 쓰면서 ... 뭐하는 짓이냐 ... , 20 , 4 , Sat May 15 23:50:24 KST 2021 
 , farh**** , 언론노조 기자 답게 산수 조차도 못하네 도입된 백신이 1000만명분 될까 말까 하고 하루 평균 접종 인원이 3 만명 수준의 백신 거지 국가에서 온통 희망사항만 나열 하고 있네 , 12 , 2 , Sat May 15 23:50:24 KST 2021 
 , hsea**** , 백신 거짓말 ᆢ전문가들 한국 집단면역 2년 9개월 걸린다는데ᆢ대동령은 올해 11월 집단면역 완성하단다 , 15 , 8 , Sat May 15 23:50:25 KST 2021 
 , bgki**** , 코로나가 종식및 완화 되기를 바랍니다. , 9 , 2 , Sat May 15 23:50:25 KST 2021 
 , pryd**** , 헬한민국 특징 : 강제징병해놓고 푼돈 주고 개같이 부리면서 일본 징용은 욕함ㅋㅋㅋㅋ , 362 , 40 , Sat May 15 23:51:14 KST 2021 
 , chun**** , 대대장 연대장들은 일키우기싫어서 다 무마시키지 ㅋㅋ 지들한테 말하면 다 해결해주겠다고 하지만 해주는거하나도없음 , 167 , 5 , Sat May 15 23:51:14 KST 2021 
 , lawy**** , 병사들은 간부들의 노예가 아니라, 국가를 위해서 나라를 지키러온 용사들이다! 나라를 위해서 목숨도 바칠 순 있지만, 개같은 술주정 받아줄 이유는 전혀없다! 간부강등시켜라!! , 85 , 2 , Sat May 15 23:51:14 KST 2021 
 , 0202**** , 말이 필요가 없네요. 군복을벗겨 버려요. , 81 , 2 , Sat May 15 23:51:14 KST 2021 
 , lkh5**** , 헬프콜 담당자도 처벌해라! 그따위로 하면 헬프콜이 뭐 필요하냐! , 40 , 3 , Sat May 15 23:51:14 KST 2021 
 , thot**** , 국방 헬프콜 걸었다고 서운하다고 떠든 저 작전관도 징계해라. 대한민국 남자들 군대 안 갔다온 사람이 드문데, 현실을 모르냐? 군대 내 문제는 중대, 대대, 연대따위에서 해결하려고 할 게 아니라 사단본부, 함대사령부, 군검찰단, 청와대 등 위에 찔러야 해결이 된다는 거. , 17 , 1 , Sat May 15 23:51:14 KST 2021 
 , csre**** , 문정권 하에서 청와대 부터 아래 까지 곳곳에 개판 안치는 곳이 없군! , 29 , 20 , Sat May 15 23:51:14 KST 2021 
 , vkfm**** , 깜이 안되는놈이 군 통수권자가 되니까 군대가 군대답지않다 , 9 , 1 , Sat May 15 23:51:14 KST 2021 
 , grea**** , 30년전만해도 자다가 끌려가서 쥐잡듯 쳐맞았지..간부도 때리고 선임도 때리고ㅋㅋ 신고하면 감찰한테도 처맞고ㅋ , 9 , 1 , Sat May 15 23:51:14 KST 2021 
 , why_**** , 그러니까 지휘체제 무시하고 잘못한 놈만 징계하면 되잖아 밑도 끝도 없이 그 부대 최고책임자까지 처벌하니까 감추려들지 안그래? 요즘같은 개인주의 세상에 돌아이들이 얼마나 많은데 사고칠때마다 책임지라면 지휘자들 다 사라질판 , 8 , 0 , Sat May 15 23:51:14 KST 2021 
 , jjoo**** , 윤희숙 의원님, 요즘 전체 국회의원들의 무게보다 더 강렬한 말씀들을 쏟아내놓으시고, 좌익들이 윤희숙 의원님의 비판에 이죄명도, 문재앙도, 꼴페미들도 모조리 나가떨어지는.. 여성도 저런 올바른 가치관을 가진 분이 계시다면, 굳이 여성할당제 할 필요도 없는데./. ㅠㅠ 국민의힘 윤희숙 의원님 화이팅~~ , 1199 , 61 , Sat May 15 23:51:56 KST 2021 
 , jml1**** , 문정복은 백원우 전 의원의 보좌관 출신", "사기·횡령 혐의로 기소돼 시흥시의원직을 자진사퇴했던 인물", "비리연루, 외유성 연수, 지위남용, 부적절 언동, 무능력 ~~문재인 똘마니로 윤미향과 닮았다 , 682 , 16 , Sat May 15 23:51:56 KST 2021 
 , wwwa**** , 여가부 해체 안 시키면 나라 망합니다 , 413 , 10 , Sat May 15 23:51:56 KST 2021 
 , klee**** , 친문과 대깨문 그리고 문재인의 화법 : 일단 말이 되지 않는 소리를 지껄인다, 사람들이 논리가 없다고 하면 그사람을 인신공격하며 욕을 한다, 모든 사람들이 말이 안된다며 외면하면 지들끼리 모여서 희희덕 거리며 정신승리한다, 세번째 역할을 하는 똥같은 찌꺼기가 바로 김어준, 유시민이다 , 381 , 9 , Sat May 15 23:51:56 KST 2021 
 , nas7**** , 대한민국 여성을 망신시키는 문재인과 더불어 만진당 이러니 2030남성들이 페미를 싫어하지 , 196 , 14 , Sat May 15 23:51:56 KST 2021 
 , dijk**** , 문정복??? 이름도 완전 비호감... 생긴건 남잔지 여잔지 구분도 안됨... 당신이란 의미도 모르는 초등수준의 무장 이해력... 문정복은 국회 똥구멍으로 들어 왔나? 어떻게 저런게 국회의원이지? 국회의원 수준 하고는... , 76 , 6 , Sat May 15 23:51:56 KST 2021 
 , save**** , 윤희숙 최고다 , 61 , 4 , Sat May 15 23:51:56 KST 2021 
 , cdpj**** , 지 도끼에 지발 찍는다고 할수 있는 말이 저따구 밖에 없지. 여자라서 공무원 되는 사회 없어졌으면 좋겠습니다. 능력이 안되는 장관은 장관직을 하면 안되죠 본인의 능력을 보여주세요. 성과나 능력이 없으면 남자탓으로 돌릴려는 짓 좀 그만 하고 그게 지금 남녀갈등을 부추기는 현 정부의 모습입니다. , 49 , 3 , Sat May 15 23:51:56 KST 2021 
 , jini**** , 문정복의원 정도인 분이 윤희숙 의원에게 말을 건다는게 체급이 안맞는거 같아요. 한방에 ko될듯해요 , 50 , 5 , Sat May 15 23:51:56 KST 2021 
 , dhmo**** , 삶은 소대가리 패거리다운 말버릇이다. 민주당 얘들은 정말 노답이다. , 48 , 6 , Sat May 15 23:51:56 KST 2021 
 , gree**** , 저 친구 뒷배가 누구인지 정말 궁금하다 보통 사람들에게 이런 앞뒤 안맞는 상황들과 미심쩍은 행동들이 존재한다면 검찰들이라면 벌써 추궁해서 뭔가 밝히기라도 할거다 운동화를 왜 버렸으며 다큰 대학생 없어졌다면 정민군부모에게 전화해서 애 들어왔는지 확인하라하고 자는게 일반적인거지 누가 그 새벽녘에 지자식도 아닌데 찾으러갈까.친하지도 않는 친구와 술9병?처음은 3병이라했다가 약물의심 받으니 9병?국민들을 등sin으로 아나 머리가 딸리면 그냥 검찰에게 맡겨라ㅉㅉ술속에 약 태워갔나?여튼 왜 물속에 들어 갔는지 밝혀라!! , 4652 , 167 , Sat May 15 23:53:03 KST 2021 
 , seni**** , 40만 국민청원는 왜 공개 안하지?왜 기다리다 싶이 정민아빠 흠집 낼려고 기사 올리지?그냥 ㅇㅈㅅ 처음부터 하는 행동 상식적으로 이해할려고 해도 너무 이상하잖아 ㅋㅋ 구리다 구려 , 1675 , 39 , Sat May 15 23:53:03 KST 2021 
 , jenn**** , SBS가 공개했죠욕나오네요 , 1479 , 43 , Sat May 15 23:53:03 KST 2021 
 , smal**** , 정권바꾸고 경찰도 바꿔야 할듯.!!!!! 견찰들아~~~ 대통령도 갈아치운 국민이다!!!! 니들 그런식으로 은폐하다가 대선끝나고 국민들이 가만 둘것 같으냐???? 지금 대한민국 자식가진 모든 엄마들이 만나기만 하면 정민이 이야기하며 슬퍼하고 있다~ 범인을 못잡는게 아니고 안잡는게 이리 보이니... 이러니 경찰도 공범이란 소리가 나오지!!ㅉ , 1180 , 80 , Sat May 15 23:53:03 KST 2021 
 , tndu**** , 네이버에 한강사족보행쳐보세요!!!!!이제빼박 그알에도제보했겠죠 심장떨림 , 824 , 42 , Sat May 15 23:53:03 KST 2021 
 , kbr1**** , 술은 3병입니다. 6병은 동석자가 정민 군 만나기 전 이미 마시고 온 건데요. 기사 정정 해주세요. 막걸리 2병에 소주 1병으로 저 상태가 될 것 같진 않죠. 1:56분 멀쩡하게 동영상 찍고 20분도 안되서 쓰러져 있는게 이해가 되나요. 이런 궁금한 내용 취재 부탁드려요. , 385 , 7 , Sat May 15 23:53:03 KST 2021 
 , seni**** , 골든건이 가수라고 할때부터 견찰에 대한 신뢰는 이미 바닥쳤다.정민이 아빠 욕하는 사람들 아빠는 합리적인 의심만 할뿐이다....왜 끝없는 의심하는가?수많은 의혹 A씨 부모 블랙박스 CCTV 6대 경찰차 신발 핸드폰 보드....한개라도 제대로 조사하거나 공개한거없다.대체 누구를 위한 견찰인가?국민청원은 왜 아직까지 묵묵부답인가?이 사건은 앞으로 우리 모두 일어날수 있는 일이다 !!!권력있는 동창한테 잘못찍히면 죽어도 그냥 자살당하는것이다!!! , 384 , 10 , Sat May 15 23:53:03 KST 2021 
 , ping**** , 휴대폰은 2시 몇분에 정민이호주머니를 뒤져서 꺼냈으면서,집에 와서보니까 자기호주머니 들어있었다고 말했다. 그리고 쪼그리고 앉은 저 자세는 술취해서 앉은 자세가 아니다.술 안 먹은 사람도 그러한 자세로 앉아있기가 쉽지 않다.더구나 같이 술 마셨는데 정민이는 완전 죽은듯이 쓰러져있는데 자신은 너무나 멀쩡하다. 더 이상한건,그때부터 술은 안 마셨을거잖아?혼자 마실리도 없고 ... 그러면 2시 몇분에도 멀쩡한 모습이면 4시에는 더 멀쩡한게 정상!!! 모든게 너무 안 맞다!!근데 경사경계면에서 자고 있었고 누군가 깨운것도 기억이 안난다는건? , 326 , 3 , Sat May 15 23:53:03 KST 2021 
 , namt**** , 신발군 외삼촌이 과거 서초경찰서장이였다.모든것이 조작되었다.검찰아니면 특검만들어서 모두 공범으로 처단해야 나라가 산다.이대로 사건이 덥어진다면 난 이나라에 살 가치가 없다. , 275 , 4 , Sat May 15 23:53:03 KST 2021 
 , larm**** , 얼마나 vvip길래 2시 50분까지 곁에 잇던 목격자 사진으로 모든 진술이 다 거짓말 탄로났는데도 본인이 해명한번 안함. 경찰 언론들이 오히려 나서서 증거도 없이 여론 몰이 유리한 말만 해댐.... 평범한 사람이면 초기부터 경찰 언론 집까지 모두 들이닥쳐서 블박 cctv 전부 확보하고 방송내보내더만 , 269 , 3 , Sat May 15 23:53:03 KST 2021 
 , idmo**** , 이재용은 정치권 희생일뿐임. , 96 , 8 , Sun May 16 00:00:02 KST 2021 
 , thep**** , 이재용은 죄가없고 문죄인이 죄가있다. , 59 , 5 , Sun May 16 00:00:02 KST 2021 
 , alta**** , 문정부에서 사면 받는 것은 최악이다. 어차피 산 거 제대로 더 살아라. 좌파 특히 대깨문들과는 더 이상 그 어떤 연도 갖지마라. 내년 새정부가 들어서 바로 사면하면 된다. 그게 대국민 화합, 대상생의 장을 실천하는데 큰 의미가 있다. 재벌을 범죄 집단 쯤으로 몰아세우는 나라는 아마 이 세상에 중국과 한국 정도 밖에 없을 것 같다. , 41 , 2 , Sun May 16 00:00:02 KST 2021 
 , calv**** , 부처님오신날에 해라~ 삼성 평택공장방문까지 해가며 이용해 먹으면서...양심이 있어야지 , 34 , 3 , Sun May 16 00:00:03 KST 2021 
 , dolc**** , 늦다 6월6일 , 17 , 3 , Sun May 16 00:00:03 KST 2021 
